year,imdb,title,test,clean_test,binary,budget,domgross,intgross,genre,Horror,Comedy,Action,Romance,Sci-Fi,Drama,Historic Fiction,Fantasy,Thriller,Sum
2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,13000000,25682380,42195766,Comedy,0,1,0,0,0,0,0,0,0,1
2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,45000000,13414714,40868994,"Action, Crime, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,53107035,158607035,"Biography, Drama, History",0,0,0,0,0,1,1,0,0,2
2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,75612460,132493015,"Action, Comedy, Thriller",0,1,1,0,0,0,0,0,1,3
2013,tt0453562,42,men,men,FAIL,40000000,95020213,95020213,"Biography, Drama, Sport",0,0,0,0,0,1,1,0,0,2
2013,tt1335975,47 Ronin,men,men,FAIL,225000000,38362475,145803842,"Action, Drama, Fantasy",0,0,1,0,0,1,0,1,0,3
2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,67349198,304249198,"Action, Thriller",0,0,1,0,0,0,0,0,1,2
2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,15323921,87324746,"Comedy, Drama, Fantasy",0,1,0,0,0,1,0,1,0,3
2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317,18007317,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,60522097,244373198,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt1800241,American Hustle,ok-disagree,ok,PASS,40000000,148430908,249484909,"Crime, Drama",0,0,0,0,0,1,0,0,0,1
2013,tt1322269,August: Osage County,ok,ok,PASS,25000000,37304874,50304874,"Comedy, Drama",0,1,0,0,0,1,0,0,0,2
2013,tt1559547,Beautiful Creatures,ok,ok,PASS,50000000,19452138,55940671,"Drama, Fantasy, Romance",0,0,0,1,0,1,0,1,0,3
2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,18000000,33345833,68447831,Drama,0,0,0,0,0,1,0,0,0,1
2013,tt1535109,Captain Phillips,notalk,notalk,FAIL,55000000,107136417,218743570,"Adventure, Biography, Crime",0,0,1,0,0,0,1,0,0,2
2013,tt1939659,Carrie,ok,ok,PASS,30000000,35266619,85001659,"Drama, Horror",1,0,0,0,0,1,0,0,0,2
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen-disagree,nowomen,FAIL,78000000,119640264,271725448,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2013,tt1690953,Despicable Me 2,ok,ok,PASS,76000000,368065385,970766005,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2013,tt2229499,Don Jon,dubious-disagree,dubious,FAIL,5500000,24477704,26377704,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2013,tt1535108,Elysium,ok-disagree,ok,PASS,120000000,93050117,286192091,"Action, Drama, Sci-Fi",0,0,1,0,1,1,0,0,0,3
2013,tt1731141,Ender&#39;s Game,men,men,FAIL,110000000,61737191,89737191,"Action, Adventure, Fantasy",0,0,1,0,0,0,0,1,0,2
2013,tt0848537,Epic,ok-disagree,ok,PASS,100000000,107518682,268418682,"Animation, Adventure, Family",0,0,1,0,0,0,0,0,0,1
2013,tt0765446,Escape from Planet Earth,ok,ok,PASS,40000000,57012977,66454811,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2013,tt1211956,Escape Plan,men,men,FAIL,70000000,25213103,103813103,"Action, Thriller",0,0,1,0,0,0,0,0,1,2
2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,17000000,54239856,97402049,"Fantasy, Horror, Thriller",1,0,0,0,0,0,0,1,1,3
2013,tt1905041,Fast and Furious 6,ok-disagree,ok,PASS,160000000,238679850,788128122,"Action, Adventure, Thriller",0,0,1,0,0,0,0,0,1,2
2013,tt2294629,Frozen,ok,ok,PASS,150000000,393050114,1004550114,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2013,tt1583421,G.I. Joe: Retaliation,ok-disagree,ok,PASS,140000000,122523060,371923060,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt1321870,Gangster Squad,notalk,notalk,FAIL,60000000,46000903,104100903,"Action, Crime, Drama",0,0,1,0,0,1,0,0,0,2
2013,tt2425486,Gloria,ok,ok,PASS,30000000,4167493,4967493,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2013,tt1454468,Gravity,nowomen-disagree,nowomen,FAIL,110000000,271814796,708714796,"Drama, Sci-Fi, Thriller",0,0,0,0,1,1,0,0,1,3
2013,tt2191701,Grown Ups 2,men-disagree,men,FAIL,80000000,133668525,247023808,Comedy,0,1,0,0,0,0,0,0,0,1
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,ok,PASS,50000000,55703475,225703475,"Action, Fantasy, Horror",1,0,1,0,0,0,0,1,0,3
2013,tt1798709,Her,men-disagree,men,FAIL,23000000,25000178,33029713,"Drama, Romance, Sci-Fi",0,0,0,1,1,1,0,0,0,3
2013,tt2024432,Identity Thief,men-disagree,men,FAIL,35000000,134506920,176269721,"Comedy, Crime, Drama",0,1,0,0,0,1,0,0,0,2
2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,5000000,83586447,161911222,"Horror, Mystery, Thriller",1,0,0,0,0,0,0,0,1,2
2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,408992272,1212692272,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,195000000,65187603,197387603,"Adventure, Fantasy",0,0,1,0,0,0,0,1,0,2
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,28795985,60839197,"Action, Comedy, Crime",0,1,1,0,0,0,0,0,0,2
2013,tt1204975,Last Vegas,notalk,notalk,FAIL,28000000,63914167,112914167,"Comedy, Drama",0,1,0,0,0,1,0,0,0,2
2013,tt1327773,Lee Daniels&#39; The Butler,ok,ok,PASS,30000000,116632095,151513429,"Biography, Drama",0,0,0,0,0,1,1,0,0,2
2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,8008161,9408161,"Action, Crime, Thriller",0,0,1,0,0,0,0,0,1,2
2013,tt2023587,Mama,ok,ok,PASS,15000000,71628180,148041253,"Horror, Thriller",1,0,0,0,0,0,0,0,1,2
2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,225000000,291045518,687999518,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt1821549,Nebraska,ok-disagree,ok,PASS,12000000,17482517,17482517,"Adventure, Comedy, Drama",0,1,1,0,0,1,0,0,0,3
2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,75000000,117723989,351723989,"Crime, Mystery, Thriller",0,0,0,0,0,0,0,0,1,1
2013,tt1483013,Oblivion,men-disagree,men,FAIL,120000000,89107235,287537983,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,70000000,98927592,150562164,"Action, Thriller",0,0,1,0,0,0,0,0,1,2
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996,489570996,"Adventure, Family, Fantasy",0,0,1,0,0,0,0,1,0,2
2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,190000000,101802906,411002906,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2013,tt1980209,Pain &amp; Gain,notalk,notalk,FAIL,26000000,49875291,81275291,"Action, Comedy, Crime",0,1,1,0,0,0,0,0,0,2
2013,tt1904996,Parker,ok,ok,PASS,35000000,17616641,46346651,"Action, Crime, Thriller",0,0,1,0,0,0,0,0,1,2
2013,tt1699755,Peeples,dubious,dubious,FAIL,15000000,9177065,9177065,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
